title	Label1	Label2	Label3
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	subject.History.British_History.British_History_1500_and_before_including_Roman_Britain	subject.People.Historical_figures	None
%C3%85land	subject.Countries	subject.Geography.European_Geography.European_Countries	None
%C3%89douard_Manet	subject.People.Artists	None	None
%C3%89ire	subject.Countries	subject.Geography.European_Geography.European_Countries	None
%C3%93engus_I_of_the_Picts	subject.History.British_History.British_History_1500_and_before_including_Roman_Britain	subject.People.Historical_figures	None
%E2%82%AC2_commemorative_coins	subject.Business_Studies.Currency	None	None
10th_century	subject.History.General_history	None	None
11th_century	subject.History.General_history	None	None
12th_century	subject.History.General_history	None	None
13th_century	subject.History.General_history	None	None
14th_century	subject.History.General_history	None	None
15th_Marine_Expeditionary_Unit	subject.History.Military_History_and_War	None	None
15th_century	subject.History.General_history	None	None
16_Cygni	subject.Science.Physics.Space_Astronomy	None	None
16_Cygni_Bb	subject.Science.Physics.Space_Astronomy	None	None
16th_century	subject.History.General_history	None	None
1755_Lisbon_earthquake	subject.History.General_history	None	None
17th_century	subject.History.General_history	None	None
1896_Summer_Olympics	subject.Everyday_life.Sports_events	None	None
18th_century	subject.History.General_history	None	None
1928_Okeechobee_Hurricane	subject.Geography.Storms	None	None
1973_oil_crisis	subject.History.Recent_History	None	None
1980_eruption_of_Mount_St._Helens	subject.Geography.Geology_and_geophysics	None	None
1997_Pacific_hurricane_season	subject.Geography.Natural_Disasters	None	None
19th_century	subject.History.General_history	None	None
1_Ceres	subject.Science.Physics.Space_Astronomy	None	None
1st_century	subject.History.General_history	None	None
1st_century_BC	subject.History.General_history	None	None
2-6-0	subject.Design_and_Technology.Railway_transport	None	None
2-8-0	subject.Design_and_Technology.Railway_transport	None	None
2003_Atlantic_hurricane_season	subject.Geography.Natural_Disasters	None	None
2004_Atlantic_hurricane_season	subject.Geography.Natural_Disasters	None	None
2004_Indian_Ocean_earthquake	subject.Geography.Geology_and_geophysics	None	None
2005_Atlantic_hurricane_season	subject.Geography.Storms	None	None
2005_Hertfordshire_Oil_Storage_Terminal_fire	subject.History.Recent_History	None	None
2005_Kashmir_earthquake	subject.Geography.Natural_Disasters	None	None
2005_Lake_Tanganyika_earthquake	subject.Geography.Natural_Disasters	None	None
2005_Sumatra_earthquake	subject.Geography.Natural_Disasters	None	None
20th_century	subject.History.General_history	None	None
21st_century	subject.History.General_history	None	None
2nd_century	subject.History.General_history	None	None
3_Juno	subject.Science.Physics.Space_Astronomy	None	None
3rd_century	subject.History.General_history	None	None
4-2-0	subject.Design_and_Technology.Railway_transport	None	None
4-4-0	subject.Design_and_Technology.Railway_transport	None	None
4-6-0	subject.Design_and_Technology.Railway_transport	None	None
47_Ursae_Majoris	subject.Science.Physics.Space_Astronomy	None	None
47_Ursae_Majoris_b	subject.Science.Physics.Space_Astronomy	None	None
47_Ursae_Majoris_c	subject.Science.Physics.Space_Astronomy	None	None
4_Vesta	subject.Science.Physics.Space_Astronomy	None	None
4th_century	subject.History.General_history	None	None
55_Cancri	subject.Science.Physics.Space_Astronomy	None	None
55_Cancri_b	subject.Science.Physics.Space_Astronomy	None	None
55_Cancri_c	subject.Science.Physics.Space_Astronomy	None	None
55_Cancri_d	subject.Science.Physics.Space_Astronomy	None	None
55_Cancri_e	subject.Science.Physics.Space_Astronomy	None	None
5th_century	subject.History.General_history	None	None
6-2-0	subject.Design_and_Technology.Railway_transport	None	None
6th_century	subject.History.General_history	None	None
7th_century	subject.History.General_history	None	None
8th_century	subject.History.General_history	None	None
90377_Sedna	subject.Science.Physics.Space_Astronomy	None	None
9th_century	subject.History.General_history	None	None
A._E._J._Collins	subject.People.Sports_and_games_people	None	None
ABO_blood_group_system	subject.Science.Biology.Health_and_medicine	None	None
AC_DC	subject.Music.Performers_and_composers	None	None
AIDS	subject.Science.Biology.Health_and_medicine	None	None
AK-47	subject.History.Military_History_and_War	None	None
ALCO_FA	subject.Design_and_Technology.Railway_transport	None	None
ASCII	subject.IT.Computing_hardware_and_infrastructure	None	None
AT%26T	subject.Business_Studies.Companies	None	None
ATLAS_experiment	subject.Science.Physics.General_Physics	None	None
A_Christmas_Carol	subject.Language_and_literature.Novels	None	None
A_Tale_of_a_Tub	subject.Language_and_literature.Novels	None	None
A_Wrinkle_in_Time	subject.Language_and_literature.Novels	None	None
A_cappella	subject.Music.Musical_genres_styles_eras_and_events	None	None
Aachen	subject.Geography.European_Geography	None	None
Aardvark	subject.Science.Biology.Mammals	None	None
Aarhus	subject.Geography.European_Geography	None	None
Abac%C3%A1	subject.Science.Biology.Plants	None	None
Abacus	subject.Everyday_life.Everyday_life	subject.Mathematics	None
Abadan	subject.Geography.Geography_of_the_Middle_East	None	None
Abbadid	subject.History.Ancient_History_Classical_History_and_Mythology	None	None
Abbas_I_of_Persia	subject.People.Historical_figures	None	None
Abbasid	subject.History.Ancient_History_Classical_History_and_Mythology	None	None
Abbey	subject.History.British_History.British_History_15001750	subject.Religion.Religious_movements_traditions_and_organizations	None
Abbey_Theatre	subject.Language_and_literature.Theatre	None	None
Abbot	subject.History.British_History.British_History_15001750	subject.Religion.Religious_movements_traditions_and_organizations	None
